Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent
21941-52922,RB,Leonard,Leonard Fournette,Fournette,18.32857186,7,9300,JAC@CLE,JAC,CLE
21941-70324,QB,Carson,Carson Wentz,Wentz,22.06444465,9,8700,PHI@DAL,PHI,DAL
21941-30447,RB,Todd,Todd Gurley II,Gurley II,21.05555556,9,8700,LAR@MIN,LAR,MIN
21941-45229,RB,Kareem,Kareem Hunt,Hunt,18.1222229,9,8600,KC@NYG,KC,NYG
21941-6498,QB,Tom,Tom Brady,Brady,20.78666687,9,8600,NE@OAK,NE,OAK
21941-38791,RB,Ezekiel,Ezekiel Elliott,Elliott,20.10000038,8,8600,PHI@DAL,DAL,PHI
21941-28573,WR,Michael,Michael Thomas,Thomas,11.96666633,9,8600,WAS@NO,NO,WAS
21941-31716,QB,Dak,Dak Prescott,Prescott,21.05111186,9,8500,PHI@DAL,DAL,PHI
21941-11460,TE,Rob,Rob Gronkowski,Gronkowski,13.41250038,8,8200,NE@OAK,NE,OAK
21941-22038,QB,Kirk,Kirk Cousins,Cousins,19.21777852,9,8200,WAS@NO,WAS,NO
21941-14211,RB,Mark,Mark Ingram,Ingram,15.32222154,9,8200,WAS@NO,NO,WAS
21941-6504,QB,Drew,Drew Brees,Brees,17.42444526,9,8100,WAS@NO,NO,WAS
21941-29780,TE,Zach,Zach Ertz,Ertz,13.53750038,8,8000,PHI@DAL,PHI,DAL
21941-6654,QB,Matthew,Matthew Stafford,Stafford,18.21555583,9,8000,DET@CHI,DET,CHI
21941-6779,RB,LeSean,LeSean McCoy,McCoy,13.47777812,9,8000,BUF@LAC,BUF,LAC
21941-45859,QB,Derek,Derek Carr,Carr,15.63249969,8,8000,NE@OAK,OAK,NE
21941-38435,QB,Jared,Jared Goff,Goff,18.24444411,9,7900,LAR@MIN,LAR,MIN
21941-8005,QB,Alex,Alex Smith,Smith,21.11777751,9,7900,KC@NYG,KC,NYG
21941-28900,RB,Melvin,Melvin Gordon,Gordon,16.20000034,9,7800,BUF@LAC,LAC,BUF
21941-32384,WR,Mike,Mike Evans,Evans,12.14999962,8,7800,TB@MIA,TB,MIA
21941-14187,WR,A.J.,A.J. Green,Green,13.25555589,9,7800,CIN@DEN,CIN,DEN
21941-16606,WR,DeAndre,DeAndre Hopkins,Hopkins,17.47777812,9,7700,ARI@HOU,HOU,ARI
21941-39716,WR,Adam,Adam Thielen,Thielen,12.9333335,9,7700,LAR@MIN,MIN,LAR
21941-29501,WR,Brandin,Brandin Cooks,Cooks,11.57777744,9,7700,NE@OAK,NE,OAK
21941-14377,QB,Tyrod,Tyrod Taylor,Taylor,15.33999973,9,7600,BUF@LAC,BUF,LAC
21941-11485,WR,Golden,Golden Tate,Tate,12.31111145,9,7600,DET@CHI,DET,CHI
21941-53681,WR,Tyreek,Tyreek Hill,Hill,12.64444478,9,7600,KC@NYG,KC,NYG
21941-42104,RB,Alvin,Alvin Kamara,Kamara,14.88888889,9,7500,WAS@NO,NO,WAS
21941-9392,WR,Michael,Michael Crabtree,Crabtree,12.38749981,8,7500,NE@OAK,OAK,NE
21941-24849,QB,Jameis,Jameis Winston,Winston,13.98750019,8,7500,TB@MIA,TB,MIA
21941-33076,TE,Travis,Travis Kelce,Kelce,13.23333316,9,7500,KC@NYG,KC,NYG
21941-25079,WR,Stefon,Stefon Diggs,Diggs,13.59999956,7,7500,LAR@MIN,MIN,LAR
